searchstring;productcount;eventdate;fixed;is_fixed;brands_fixed;layout_fixed;spaces_fixed;typos_fixed;;
егермейстер;11;27.12.2018;егермейстер;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,010530451;1
золотая балка;19;27.12.2018;золотая балка;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018673167;1
Charmes Chambertin Grand Cru;30;27.12.2018;charmes chambertin grand cru;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,017057523;1
Appleton;1;27.12.2018;appleton;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,012607891;1
Selbach “incline”;0;27.12.2018;selbach “incline”;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,011669235;1
Remy martin;26;27.12.2018;remy martin;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,00776702;1
Cru Cuvee des Alouettes;3;27.12.2018;cru cuvee des alouettes;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,010805283;1
avivo;0;27.12.2018;aviva;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,026363336;1
гран торино;2;27.12.2018;гран торино;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,009330365;1
Simonsig brut rose;2;27.12.2018;simonsig brut rose;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,009076136;1
Il Marroneto, Brunello di Montalcino;0;27.12.2018;il marroneto, brunello di montalcino;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022140277;1
Джим бим;24;27.12.2018;джим бим;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,001109192;1
Terres Poupres Saumur;0;27.12.2018;terres poupres saumur;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,014025329;1
Giarola;12;27.12.2018;giarola;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022062693;1
cantina;42;27.12.2018;cantina;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,021106348;1
land;45;27.12.2018;land;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,002760142;1
Zanna;3;27.12.2018;zanna;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,017940815;1
шато тамань резерв;21;27.12.2018;шато тамань резерв;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,025173944;1
текила;33;27.12.2018;текила;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,004840945;1
Гранд десерт долче;0;27.12.2018;гранд десерт dolce;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ИСТИНА;0,023989342;1
Bourgogne Chardonnay 2015;9;27.12.2018;bourgogne chardonnay 2015;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,014457878;1
Glenfiddich;23;27.12.2018;glenfiddich;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,011898321;1
Jim Beam;25;27.12.2018;jim beam;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,012669952;1
Cru Clavoillon;3;27.12.2018;cru clavoillon;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,00704569;1
Montrachet Grand;45;27.12.2018;montrachet grand;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,00798295;1
uws1004810;1;26.12.2018;uws1004810;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023683313;1
арманьяк 1974;8;26.12.2018;арманьяк 1974;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,019302877;1
Bowen;4;26.12.2018;bowen;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,014005388;1
baaduri 5 ye;5;26.12.2018;baaduri 5 ye;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,007414871;1
алта20649;1;26.12.2018;алта20649;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,007353587;1
Вино Chateau Cheval Blanc, St-Emilion AOC 1-er Grand Cru Classe;0;26.12.2018;Вино Chateau Cheval Blanc, St-Emilion AOC 1-er Grand Cru Classe;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,004479875;1
Торре абальде тинто;1;26.12.2018;торре абальде тинто;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,027468054;1
Pescaito;3;26.12.2018;pescaito;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,006216954;1
Canti;45;26.12.2018;canti;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,028717621;1
качел;16;26.12.2018;качели;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;0,004233531;1
Gold baku;1;26.12.2018;gold baku;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,010316099;1
suntory;9;26.12.2018;suntory;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,007923641;1
victor;45;26.12.2018;victor;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022316722;1
Maison Briottet Creme de Framboise;0;26.12.2018;maison briottet creme de framboise;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,0159231;1
Armenia Drv Red Wine;0;26.12.2018;armenia drv red wine;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,024571869;1
Брют;45;26.12.2018;brut;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,009893742;1
Ardbeg;7;26.12.2018;ardbeg;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023493816;1
Тини россо;10;26.12.2018;тини россо;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023337284;1
Фанагория;45;26.12.2018;fanagoria;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,027126599;1
10л;24;26.12.2018;10л;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,027849492;1
Disaronno;7;26.12.2018;disaronno;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,001044055;1
Veuve;45;26.12.2018;veuve;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,024488039;1
vs5010677211079;0;26.12.2018;vs5010677211079;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022190028;1
С0616;0;26.12.2018;с0616;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5,75263E-05;1
Naulin xo;0;25.12.2018;naulin xo;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,014711894;1
marcus;0;25.12.2018;marcus;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,000205107;1
Brora;0;25.12.2018;brora;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,01355072;1
Chablis;45;25.12.2018;chablis;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,017891003;1
canti asti;10;25.12.2018;canti asti;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,011695839;1
Санузен комфорт;0;25.12.2018;санузен comfort;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018592394;1
Chianti di Fiesche;3;25.12.2018;chianti di fiesche;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,01775085;1
херес;45;25.12.2018;херес;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,001567699;1
Matsu El Picaro;5;25.12.2018;matsu el picaro;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,026779687;1
Херес;45;25.12.2018;херес;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,025396027;1
Torre de vila nova;1;25.12.2018;torre de vila nova;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,012767352;1
0,05;45;25.12.2018;0,05;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,020664153;1
анис;45;25.12.2018;анис;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022384809;1
chianti riserva;45;25.12.2018;chianti riserva;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,008196673;1
каннонау;15;25.12.2018;cannonau;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,009408837;1
baron;14;25.12.2018;baron;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,014265457;1
гевюрцтраминер;45;25.12.2018;gewurztraminer;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,009242793;1
Goose;20;25.12.2018;goose;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,011571615;1
грей гуз;17;25.12.2018;грей гуз;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,020562584;1
Toucas;2;25.12.2018;toucas;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,028604691;1
Johnnie Walker Black Label 0,5L;2;25.12.2018;johnnie walker black label 0,5l;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,005424258;1
Ликер;45;25.12.2018;ликер;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,005842359;1
макаллан;22;25.12.2018;macallan;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,005286545;1
douro tinto;10;25.12.2018;douro tinto;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,016455103;1
contessa carola gran dessert vino spumante dolce 0.75 l;0;25.12.2018;contessa carola gran dessert vino spumante dolce 0.75 l;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,00965779;1
pinot grigio;18;25.12.2018;pinot grigio;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,012465486;1
Водка Борис Ельцин;0;25.12.2018;водка борис ельцин;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018259601;1
Sangria;1;25.12.2018;sangria;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,002248124;1
Entre deux mers;16;25.12.2018;entre deux mers;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,021051194;1
Old monk;3;25.12.2018;old monk;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,003575201;1
Prosecco;45;25.12.2018;prosecco;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,003300793;1
Prosecco;45;25.12.2018;prosecco;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,007316143;1
кампари;3;25.12.2018;campari;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,008435477;1
джин;45;25.12.2018;джин;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,02869086;1
Мини 0,05;0;24.12.2018;мини 0,05;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,019945821;1
belgian;6;24.12.2018;belgian;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,007052262;1
